Date,Price,Open,High,Low,Volume,Chg%
"Oct 27, 2023","7,123.00","7,000.00","7,155.00","6,935.00",394.91M,2.50%
"Oct 26, 2023","6,949.00","7,084.00","7,127.00","6,891.00",362.03M,-1.85%
"Oct 25, 2023","7,080.00","6,973.00","7,113.00","6,845.00",365.69M,1.46%
"Oct 24, 2023","6,978.00","7,200.00","7,200.00","6,905.00",240.67M,-2.23%
"Oct 23, 2023","7,137.00","7,302.00","7,340.00","7,105.00",264.47M,-2.91%
"Oct 20, 2023","7,351.00","7,345.00","7,464.00","7,312.00",25.09K,-1.10%
"Oct 19, 2023","7,433.00","7,332.00","7,467.00","7,225.00",3.03K,1.03%
"Oct 18, 2023","7,357.00","7,225.00","7,483.00","7,225.00",90.65M,2.32%
"Oct 17, 2023","7,190.00","7,260.00","7,284.00","7,130.00",12.97K,-0.92%
"Oct 16, 2023","7,257.00","7,257.00","7,356.00","7,193.00",17.18K,0.00%
"Oct 13, 2023","7,257.00","6,949.00","7,276.00","6,949.00",29.99K,5.22%
"Oct 12, 2023","6,897.00","6,935.00","7,099.00","6,883.00",30.75K,-1.64%
"Oct 11, 2023","7,012.00","7,195.00","7,205.00","6,927.00",31.06K,-2.07%
"Oct 10, 2023","7,160.00","7,165.00","7,225.00","7,095.00",24.70K,-0.21%
"Oct 09, 2023","7,175.00","6,988.00","7,239.00","6,988.00",32.63K,4.38%
"Oct 06, 2023","6,874.00","6,903.00","6,936.00","6,810.00",35.29K,-0.66%
"Oct 05, 2023","6,920.00","7,074.00","7,085.00","6,866.00",44.55K,-7.05%
"Oct 03, 2023","7,445.00","7,515.00","7,515.00","7,321.00",28.43K,-1.26%
"Sep 29, 2023","7,540.00","7,750.00","7,750.00","7,518.00",26.78K,-1.06%
"Sep 28, 2023","7,621.00","7,795.00","7,874.00","7,609.00",28.02K,-2.04%
"Sep 27, 2023","7,780.00","7,577.00","7,811.00","7,563.00",32.66K,3.25%
"Sep 26, 2023","7,535.00","7,443.00","7,549.00","7,347.00",25.48K,0.99%
"Sep 25, 2023","7,461.00","7,483.00","7,543.00","7,407.00",26.23K,-0.04%
"Sep 22, 2023","7,464.00","7,490.00","7,572.00","7,412.00",25.84K,-0.16%
"Sep 21, 2023","7,476.00","7,443.00","7,557.00","7,349.00",31.16K,0.05%
"Sep 20, 2023","7,472.00","7,484.00","7,549.00","7,394.00",29.93K,-1.86%
"Sep 19, 2023","7,614.00","7,595.00","7,797.00","7,595.00",5.66K,0.58%
"Sep 18, 2023","7,570.00","7,574.00","7,674.00","7,553.00",10.15K,0.48%
"Sep 15, 2023","7,534.00","7,530.00","7,566.00","7,416.00",16.22K,0.48%
"Sep 14, 2023","7,498.00","7,366.00","7,510.00","7,360.00",12.29K,2.24%
"Sep 13, 2023","7,334.00","7,360.00","7,427.00","7,325.00",18.59K,-0.58%
"Sep 12, 2023","7,377.00","7,265.00","7,391.00","7,250.00",17.85K,1.85%
"Sep 11, 2023","7,243.00","7,222.00","7,297.00","7,190.00",14.70K,-0.04%
