Date,Open,High,Low,Close,Adj Close,Volume
2013-10-29,392.200012,410.000000,381.000000,395.299988,379.410370,27684
2013-10-30,393.950012,395.000000,379.000000,380.450012,366.083374,20239
2013-10-31,380.450012,397.000000,380.000000,386.850006,372.241730,27945
2013-11-01,388.500000,392.799988,374.000000,376.500000,362.282623,13047
2013-11-05,381.399994,386.600006,377.100006,378.649994,364.351471,11818
2013-11-06,380.000000,384.000000,378.649994,379.950012,365.602386,5230
2013-11-07,384.649994,438.899994,384.649994,421.149994,405.246552,511974
2013-11-08,416.000000,433.799988,416.000000,426.200012,410.105804,68441
2013-11-11,426.750000,428.100006,407.049988,410.450012,394.950592,10035
2013-11-12,400.100006,415.000000,400.100006,405.399994,390.091370,11014
2013-11-13,403.149994,409.000000,402.000000,406.200012,390.861023,6702
2013-11-14,410.899994,413.700012,402.000000,408.799988,393.362915,2950
2013-11-18,400.000000,428.799988,400.000000,413.600006,397.981628,61836
2013-11-19,410.200012,423.500000,410.200012,418.700012,402.889069,41476
2013-11-20,422.950012,477.000000,421.000000,435.350006,418.910248,244858
2013-11-21,439.799988,442.000000,420.000000,422.799988,406.834198,30782
2013-11-22,433.000000,454.000000,429.850006,447.549988,430.649567,204352
2013-11-25,450.250000,474.000000,450.100006,463.200012,445.708649,81018
2013-11-26,465.049988,472.000000,453.250000,462.950012,445.468048,95471
2013-11-27,463.000000,463.049988,440.149994,444.649994,427.859100,223910
2013-11-28,449.600006,454.750000,441.600006,445.899994,429.061951,33197
2013-11-29,444.000000,450.000000,441.000000,446.000000,429.158112,22912
2013-12-02,441.500000,482.000000,437.100006,441.149994,424.491272,644442
2013-12-03,441.700012,447.350006,432.500000,435.899994,419.439575,28627
2013-12-04,436.500000,455.950012,427.299988,448.850006,431.900482,40335
2013-12-05,448.000000,464.000000,437.000000,439.750000,423.144165,83250
2013-12-06,440.299988,448.399994,438.049988,441.549988,424.876160,20803
2013-12-09,448.000000,453.950012,442.450012,446.600006,429.735535,23538
2013-12-10,445.299988,465.000000,444.049988,451.100006,434.065613,142494
2013-12-11,451.000000,462.549988,450.000000,454.600006,437.433350,260135
2013-12-12,454.399994,466.799988,449.000000,453.000000,435.893799,30617
2013-12-13,453.000000,456.500000,438.299988,440.850006,424.202637,17520
2013-12-16,443.649994,449.850006,435.399994,438.149994,421.604553,18796
2013-12-17,439.950012,444.950012,436.000000,437.899994,421.363983,9119
2013-12-18,443.799988,452.350006,437.350006,445.049988,428.243958,334691
2013-12-19,441.000000,460.000000,441.000000,452.750000,435.653229,40365
2013-12-20,465.399994,487.850006,460.000000,474.250000,456.341400,314587
2013-12-23,476.000000,494.000000,463.000000,467.799988,450.134949,61471
2013-12-24,469.299988,472.500000,453.500000,457.350006,440.079529,31209
2013-12-26,462.000000,467.000000,460.000000,465.299988,447.729309,18206
2013-12-27,465.500000,469.000000,461.950012,466.700012,449.076385,19504
2013-12-30,465.549988,472.700012,462.500000,464.549988,447.007751,12393
2013-12-31,465.500000,465.500000,453.149994,461.950012,444.505798,15236
2014-01-01,464.000000,464.049988,451.000000,456.049988,438.828583,17995
2014-01-02,463.700012,465.000000,442.200012,447.799988,430.890137,131030
2014-01-03,457.000000,465.899994,445.049988,457.649994,440.368225,9771
2014-01-06,466.750000,489.700012,466.750000,483.049988,464.809143,75289
2014-01-07,488.799988,529.950012,485.000000,519.599976,499.978821,352265
2014-01-08,524.900024,534.849976,505.600006,512.250000,492.906464,191076
2014-01-09,500.600006,510.000000,493.549988,499.500000,480.637878,154183
2014-01-10,493.000000,502.500000,481.250000,497.250000,478.472809,193785
2014-01-13,492.000000,513.000000,492.000000,499.549988,480.685974,38876
2014-01-14,498.000000,520.000000,493.350006,497.149994,478.376556,43412
2014-01-15,499.950012,519.849976,495.500000,516.299988,496.803375,66623
2014-01-16,515.900024,548.900024,511.200012,543.150024,522.639648,230878
2014-01-17,543.599976,625.000000,535.250000,571.799988,550.207642,713296
2014-01-20,575.000000,598.150024,556.349976,585.950012,563.823303,252319
2014-01-21,586.650024,591.000000,562.500000,569.599976,548.090637,259707
2014-01-22,566.599976,584.000000,549.200012,567.599976,546.166138,622081
2014-01-23,561.200012,591.750000,560.000000,574.200012,552.517273,255280
2014-01-24,570.000000,576.900024,517.049988,523.950012,504.164612,86117
2014-01-27,516.099976,519.900024,496.350006,512.500000,493.146973,99963
2014-01-28,507.250000,525.000000,493.200012,501.600006,482.658569,111541
2014-01-29,502.500000,511.799988,480.250000,494.100006,475.441711,58447
2014-01-30,488.899994,503.700012,468.000000,499.600006,480.734161,61957
2014-01-31,501.000000,505.299988,488.899994,494.500000,475.826630,55699
2014-02-03,495.000000,508.000000,483.000000,488.649994,470.197601,21928
2014-02-04,490.000000,494.700012,475.000000,476.700012,458.698822,22563
2014-02-05,476.149994,529.000000,476.149994,516.049988,496.562897,391642
2014-02-06,522.000000,535.599976,508.000000,516.049988,496.562897,346516
2014-02-07,516.700012,532.000000,508.000000,514.099976,494.686584,148185
2014-02-10,514.750000,534.000000,514.750000,526.849976,506.955170,32802
2014-02-11,525.000000,535.000000,520.099976,524.150024,504.357208,34169
2014-02-12,524.799988,547.599976,524.799988,535.650024,515.422852,65702
2014-02-13,538.000000,546.000000,526.950012,530.349976,510.322876,47002
2014-02-14,531.000000,548.000000,530.549988,545.950012,525.333984,31450
2014-02-17,541.500000,570.000000,527.549988,566.400024,545.011658,118930
2014-02-18,569.000000,575.000000,556.549988,571.700012,550.111572,45326
2014-02-19,567.900024,613.700012,565.000000,588.400024,566.180908,219647
2014-02-20,589.400024,615.000000,585.000000,606.500000,583.597412,110635
2014-02-21,609.000000,645.000000,609.000000,638.650024,614.533325,238658
2014-02-24,640.000000,708.049988,640.000000,649.900024,625.358459,588512
2014-02-25,650.200012,665.950012,630.000000,641.200012,616.987061,223095
2014-02-26,645.000000,660.000000,632.349976,635.349976,611.357727,142512
2014-02-28,640.000000,658.799988,622.299988,628.900024,605.151367,233990
2014-03-03,630.000000,649.000000,610.150024,615.799988,592.546143,84107
2014-03-04,618.849976,626.000000,601.500000,605.500000,582.635193,107528
2014-03-05,610.000000,643.000000,587.400024,634.900024,610.924866,229213
2014-03-06,640.400024,654.900024,614.799988,619.950012,596.539551,191263
2014-03-07,623.900024,624.950012,600.000000,609.450012,586.435669,61420
2014-03-10,603.400024,623.950012,603.400024,609.599976,586.580261,134853
2014-03-11,610.349976,613.549988,593.349976,598.349976,575.755005,73075
2014-03-12,599.799988,622.500000,597.299988,599.700012,577.054138,79821
2014-03-13,600.450012,610.000000,600.099976,604.500000,581.672913,41089
2014-03-14,600.000000,605.400024,575.000000,597.349976,574.792786,84064
2014-03-18,603.849976,607.549988,588.000000,594.500000,572.050476,250853
2014-03-19,600.000000,600.250000,577.000000,582.799988,560.792297,52657
2014-03-20,577.000000,608.750000,577.000000,602.299988,579.555969,109830
2014-03-21,606.000000,614.400024,602.150024,606.000000,583.116211,64325
2014-03-22,null,null,null,null,null,null
2014-03-24,603.650024,617.799988,602.099976,607.000000,584.078430,56344
2014-03-25,604.950012,619.000000,602.349976,615.650024,592.401794,483037
2014-03-26,616.400024,648.450012,616.400024,642.900024,618.622864,657169
2014-03-27,650.000000,653.650024,617.099976,632.900024,609.000305,301209
2014-03-28,633.650024,634.000000,622.000000,630.150024,606.354309,43530
2014-03-31,627.000000,637.700012,612.200012,619.599976,596.202576,41395
2014-04-01,613.150024,624.000000,593.700012,600.349976,577.679382,43476
2014-04-02,602.000000,619.000000,602.000000,612.650024,589.515076,23229
