Date,Price,Open,High,Low,Volume,Chg%
"Oct 27, 2023","71,761","71,111","71,944","71,111",420.75M,-0.04%
"Oct 26, 2023","71,790","71,665","72,350","70,868",636.02M,0.00%
"Oct 25, 2023","71,790","71,822","72,050","71,088",495.78M,-0.06%
"Oct 24, 2023","71,831","71,767","71,897","71,394",25.32K,-0.44%
"Oct 23, 2023","72,145","72,581","72,846","71,900",476.52M,-1.02%
"Oct 20, 2023","72,891","72,000","73,471","71,500",88.86K,1.66%
"Oct 19, 2023","71,698","71,638","72,197","71,227",53.46K,0.15%
"Oct 18, 2023","71,594","72,000","72,718","71,380",65.26K,0.00%
"Oct 17, 2023","71,594","70,812","71,951","70,500",38.63K,0.45%
"Oct 16, 2023","71,273","71,000","74,000","68,451",19.80K,0.00%
"Oct 13, 2023","71,273","69,450","71,450","69,332",89.95K,3.06%
"Oct 12, 2023","69,158","69,600","70,075","69,060",49.68K,-0.48%
"Oct 11, 2023","69,495","69,194","69,750","69,025",42.33K,0.72%
"Oct 10, 2023","68,997","69,133","69,183","68,709",33.88K,-0.19%
"Oct 09, 2023","69,130","68,370","69,245","68,370",42.00K,1.33%
"Oct 06, 2023","68,226","67,189","68,337","66,775",84.93K,1.90%
"Oct 05, 2023","66,952","67,199","67,700","66,725",49.96K,-0.13%
"Oct 04, 2023","67,036","67,250","68,048","66,630",62.00K,-0.73%
"Oct 03, 2023","67,530","69,870","69,870","65,796",85.25K,-3.52%
"Sep 29, 2023","69,995","71,000","73,184","69,893",118.64K,-1.05%
"Sep 28, 2023","70,738","70,650","71,238","70,462",43.82K,0.07%
"Sep 27, 2023","70,692","71,655","71,655","70,600",53.43K,-1.61%
"Sep 26, 2023","71,849","72,080","72,190","71,610",39.95K,-0.55%
"Sep 25, 2023","72,243","73,209","73,599","72,123",50.32K,-1.50%
"Sep 22, 2023","73,346","72,890","73,750","72,867",42.13K,0.42%
"Sep 21, 2023","73,038","73,000","73,100","71,460",71.57K,-0.21%
"Sep 20, 2023","73,195","72,400","73,290","72,215",40.92K,0.86%
"Sep 19, 2023","72,572","72,643","73,100","72,400",22.19K,0.03%
"Sep 18, 2023","72,552","72,339","72,630","72,100",34.97K,0.48%
"Sep 15, 2023","72,203","71,233","72,599","71,233",60.34K,1.62%
"Sep 14, 2023","71,051","71,356","71,395","70,202",66.60K,-0.66%
"Sep 13, 2023","71,526","71,830","71,940","71,308",42.90K,-0.67%
"Sep 12, 2023","72,011","72,196","72,300","71,450",37.48K,-0.01%
"Sep 11, 2023","72,019","71,850","72,320","71,760",33.76K,0.47%
"Sep 08, 2023","71,685","72,300","72,430","71,600",40.79K,-0.28%
"Sep 07, 2023","71,887","72,271","72,479","71,677",39.54K,-0.94%
"Sep 06, 2023","72,570","73,527","73,746","72,210",55.79K,-1.35%
"Sep 05, 2023","73,566","74,432","74,457","73,366",51.08K,-1.39%
"Sep 04, 2023","74,605","75,280","75,280","74,500",20.15K,-0.63%
"Sep 01, 2023","75,081","75,701","76,459","74,900",49.46K,-0.74%
"Aug 31, 2023","75,637","74,400","76,969","73,846",31.44K,1.55%
"Aug 30, 2023","74,486","74,507","75,258","74,300",0.68K,-0.19%
"Aug 29, 2023","74,627","73,511","74,891","73,285",0.33K,1.58%
"Aug 28, 2023","73,463","73,400","73,695","73,025",0.36K,0.58%
"Aug 25, 2023","73,041","73,012","73,590","72,485",8.26K,-0.30%
"Aug 24, 2023","73,258","73,622","73,666","73,014",21.60K,-0.63%
"Aug 23, 2023","73,722","72,000","73,800","72,000",38.01K,2.50%
"Aug 22, 2023","71,924","71,669","72,037","71,506",27.71K,0.40%
"Aug 21, 2023","71,635","70,505","71,669","70,350",46.29K,1.81%
"Aug 18, 2023","70,359","70,465","70,638","70,100",25.38K,0.25%
"Aug 17, 2023","70,182","69,757","70,934","69,567",44.82K,0.41%
"Aug 16, 2023","69,894","70,186","70,491","69,860",25.11K,-0.31%
"Aug 14, 2023","70,110","70,040","70,386","69,600",31.04K,-0.08%
"Aug 11, 2023","70,168","70,145","70,499","69,820",27.25K,0.03%
"Aug 10, 2023","70,147","70,071","70,769","69,900",45.54K,-0.01%
"Aug 09, 2023","70,154","70,593","70,743","70,031",33.82K,-0.33%
"Aug 08, 2023","70,388","71,370","71,412","70,172",40.92K,-1.38%
"Aug 07, 2023","71,375","72,400","72,460","71,208",40.02K,-1.59%
"Aug 04, 2023","72,528","72,494","72,966","71,786",40.34K,-0.07%
"Aug 03, 2023","72,581","72,721","72,875","72,028",44.29K,-0.58%
"Aug 02, 2023","73,002","73,991","74,720","72,720",51.66K,-1.20%
"Aug 01, 2023","73,891","75,225","75,225","73,671",41.67K,-1.82%
"Jul 31, 2023","75,258","73,827","75,325","73,701",37.86K,1.75%
"Jul 28, 2023","73,965","73,849","74,149","73,505",27.34K,0.40%
"Jul 27, 2023","73,668","75,500","75,960","73,216",67.00K,-2.03%
"Jul 26, 2023","75,193","74,630","75,488","74,439",31.80K,0.73%
"Jul 25, 2023","74,646","74,298","74,780","74,075",32.01K,0.88%
"Jul 24, 2023","73,995","74,695","74,712","73,658",37.61K,-1.13%
"Jul 21, 2023","74,837","75,109","75,467","74,700",30.98K,-0.61%
"Jul 20, 2023","75,298","76,250","76,420","75,083",40.90K,-1.15%
"Jul 19, 2023","76,174","75,902","76,380","75,714",29.93K,0.36%
"Jul 18, 2023","75,902","75,440","76,197","75,251",41.78K,0.72%
"Jul 17, 2023","75,357","75,377","75,630","74,850",30.82K,-0.51%
"Jul 14, 2023","75,740","75,309","75,898","74,929",51.03K,0.86%
"Jul 13, 2023","75,096","73,530","75,210","73,510",59.11K,2.28%
"Jul 12, 2023","73,423","71,405","73,506","71,191",63.80K,3.17%
"Jul 11, 2023","71,169","71,455","71,850","71,050",33.36K,-0.29%
"Jul 10, 2023","71,376","71,257","71,438","70,500",34.78K,0.04%
"Jul 07, 2023","71,350","70,205","71,400","70,185",48.10K,1.38%
"Jul 06, 2023","70,376","71,330","71,675","70,011",57.54K,-1.40%
"Jul 05, 2023","71,378","70,526","71,570","70,250",45.24K,1.08%
"Jul 04, 2023","70,613","70,370","70,755","70,315",16.74K,0.34%
"Jul 03, 2023","70,376","69,625","70,760","69,625",30.80K,2.09%
"Jun 30, 2023","68,936","68,648","69,099","68,200",0.09K,0.40%
"Jun 29, 2023","68,664","69,217","69,380","67,928",0.11K,-0.92%
"Jun 28, 2023","69,301","69,532","69,549","68,760",0.35K,-0.11%
"Jun 27, 2023","69,379","69,458","69,829","69,245",0.53K,0.40%
"Jun 26, 2023","69,100","68,883","69,304","68,594",10.54K,1.51%
"Jun 23, 2023","68,074","68,200","68,930","67,430",30.89K,-0.56%
"Jun 22, 2023","68,460","69,130","69,130","68,138",34.33K,-1.27%
"Jun 21, 2023","69,341","70,442","70,518","68,685",45.96K,-1.60%
"Jun 20, 2023","70,468","72,311","72,614","70,301",47.94K,-2.73%
"Jun 19, 2023","72,445","72,599","72,915","72,319",18.99K,-0.27%
"Jun 16, 2023","72,641","72,150","72,968","72,062",38.18K,0.70%
"Jun 15, 2023","72,136","72,000","72,199","70,801",58.24K,-0.69%
"Jun 14, 2023","72,637","72,399","72,750","72,244",24.99K,0.66%
"Jun 13, 2023","72,162","73,162","73,810","72,100",49.82K,-1.08%
"Jun 12, 2023","72,949","73,501","73,711","72,726",36.57K,-1.09%
"Jun 09, 2023","73,753","73,700","74,216","73,455",35.70K,0.23%
"Jun 08, 2023","73,582","71,836","73,767","71,836",51.13K,2.46%
"Jun 07, 2023","71,814","71,925","73,132","71,627",53.85K,-0.29%
"Jun 06, 2023","72,020","71,980","72,520","71,479",41.84K,0.11%
"Jun 05, 2023","71,942","72,049","72,289","71,301",33.51K,-0.15%
"Jun 02, 2023","72,051","72,949","72,950","72,031",33.69K,-0.77%
"Jun 01, 2023","72,611","71,949","72,728","71,310",46.65K,0.67%
"May 31, 2023","72,128","71,075","72,260","70,981",52.75K,1.39%
"May 30, 2023","71,140","71,000","71,498","70,605",37.18K,-0.12%
