Date,NIFTY,RELIANCE,SBI,HDFC
30-Dec-2022,"18,105.30","2,547.20",613.70,"1,628.15"
29-Dec-2022,"18,191.00","2,543.30",611.80,"1,641.30"
28-Dec-2022,"18,122.50","2,544.45",601.05,"1,629.80"
27-Dec-2022,"18,132.30","2,544.70",601.90,"1,631.10"
26-Dec-2022,"18,014.60","2,524.05",597.10,"1,629.45"
23-Dec-2022,"17,806.80","2,502.20",574.00,"1,597.65"
22-Dec-2022,"18,127.35","2,577.80",593.40,"1,612.05"
21-Dec-2022,"18,199.10","2,584.50",593.40,"1,617.60"
20-Dec-2022,"18,385.30","2,621.80",604.45,"1,633.40"
19-Dec-2022,"18,420.45","2,599.30",604.45,"1,644.75"
16-Dec-2022,"18,269.00","2,565.60",603.35,"1,639.65"
15-Dec-2022,"18,414.90","2,578.35",615.95,"1,631.80"
14-Dec-2022,"18,660.30","2,615.50",625.50,"1,662.25"
13-Dec-2022,"18,608.00","2,625.00",616.75,"1,648.30"
12-Dec-2022,"18,497.15","2,613.10",613.05,"1,643.75"
09-Dec-2022,"18,496.60","2,609.10",616.50,"1,631.05"
08-Dec-2022,"18,609.35","2,649.25",611.65,"1,619.50"
07-Dec-2022,"18,560.50","2,650.50",607.05,"1,610.45"
06-Dec-2022,"18,642.75","2,690.20",608.95,"1,611.15"
05-Dec-2022,"18,701.05","2,682.45",617.30,"1,612.95"
02-Dec-2022,"18,696.10","2,722.15",607.55,"1,607.10"
01-Dec-2022,"18,812.50","2,723.30",608.10,"1,619.50"
30-Nov-2022,"18,758.35","2,731.35",602.45,"1,608.45"
29-Nov-2022,"18,618.05","2,712.20",608.55,"1,597.85"
28-Nov-2022,"18,562.75","2,707.55",608.60,"1,600.25"
25-Nov-2022,"18,512.75","2,617.60",607.40,"1,617.65"
24-Nov-2022,"18,484.10","2,579.10",609.35,"1,625.15"
23-Nov-2022,"18,267.25","2,557.05",607.65,"1,599.15"
22-Nov-2022,"18,244.20","2,565.05",599.10,"1,595.00"
21-Nov-2022,"18,159.95","2,550.90",598.10,"1,597.35"
18-Nov-2022,"18,307.65","2,597.65",602.70,"1,613.90"
17-Nov-2022,"18,343.90","2,599.05",599.05,"1,618.15"
16-Nov-2022,"18,409.65","2,592.35",599.75,"1,632.90"
15-Nov-2022,"18,403.40","2,607.30",600.85,"1,619.00"
14-Nov-2022,"18,329.15","2,619.05",592.55,"1,615.05"
11-Nov-2022,"18,349.70","2,631.80",601.30,"1,611.15"
10-Nov-2022,"18,028.20","2,572.50",605.75,"1,524.75"
09-Nov-2022,"18,157.00","2,604.00",615.55,"1,508.35"
07-Nov-2022,"18,202.80","2,606.60",614.15,"1,508.80"
04-Nov-2022,"18,117.15","2,592.75",593.95,"1,497.15"
03-Nov-2022,"18,052.70","2,555.15",584.90,"1,507.55"
02-Nov-2022,"18,082.85","2,545.65",573.85,"1,514.20"
01-Nov-2022,"18,145.40","2,529.85",576.90,"1,513.25"
31-Oct-2022,"18,012.20","2,549.60",573.80,"1,496.70"
28-Oct-2022,"17,786.80","2,526.15",570.75,"1,458.70"
27-Oct-2022,"17,736.95","2,451.15",579.65,"1,454.40"
25-Oct-2022,"17,656.35","2,441.55",578.55,"1,450.90"
24-Oct-2022,"17,730.75","2,479.85",570.50,"1,461.05"
21-Oct-2022,"17,576.30","2,471.60",560.85,"1,438.60"
20-Oct-2022,"17,563.95","2,500.60",555.40,"1,448.80"
19-Oct-2022,"17,512.25","2,493.90",553.40,"1,458.65"
18-Oct-2022,"17,486.95","2,451.25",562.45,"1,443.85"
17-Oct-2022,"17,311.80","2,408.75",543.65,"1,446.55"
14-Oct-2022,"17,185.70","2,370.70",527.20,"1,439.00"
13-Oct-2022,"17,014.35","2,382.80",521.45,"1,393.60"
12-Oct-2022,"17,123.60","2,375.25",533.80,"1,409.80"
11-Oct-2022,"16,983.55","2,357.90",527.40,"1,400.65"
10-Oct-2022,"17,241.00","2,405.80",530.75,"1,415.00"
07-Oct-2022,"17,314.65","2,432.35",530.20,"1,430.80"
06-Oct-2022,"17,331.80","2,422.10",537.30,"1,437.00"
04-Oct-2022,"17,274.30","2,413.20",532.70,"1,453.00"
03-Oct-2022,"16,887.35","2,369.50",519.75,"1,413.20"
30-Sep-2022,"17,094.35","2,377.75",530.60,"1,421.35"
29-Sep-2022,"16,818.10","2,325.30",521.75,"1,382.35"
28-Sep-2022,"16,858.60","2,332.45",524.85,"1,389.55"
27-Sep-2022,"17,007.40","2,396.25",536.50,"1,413.85"
26-Sep-2022,"17,016.30","2,377.35",543.30,"1,426.65"
23-Sep-2022,"17,327.35","2,439.50",550.60,"1,446.15"
22-Sep-2022,"17,629.80","2,486.10",567.30,"1,486.00"
21-Sep-2022,"17,718.35","2,509.75",569.70,"1,518.35"
20-Sep-2022,"17,816.25","2,502.85",574.05,"1,520.70"
19-Sep-2022,"17,622.25","2,502.45",572.25,"1,502.60"
16-Sep-2022,"17,530.85","2,499.20",561.80,"1,492.75"
15-Sep-2022,"17,877.40","2,562.70",572.15,"1,520.70"
14-Sep-2022,"18,003.75","2,588.35",571.75,"1,528.65"
13-Sep-2022,"18,070.05","2,619.75",558.00,"1,513.10"
12-Sep-2022,"17,936.35","2,598.05",554.90,"1,493.55"
09-Sep-2022,"17,833.35","2,569.30",553.35,"1,498.60"
08-Sep-2022,"17,798.75","2,585.40",544.65,"1,497.60"
07-Sep-2022,"17,624.40","2,581.75",532.85,"1,482.30"
06-Sep-2022,"17,655.60","2,596.85",537.80,"1,489.35"
05-Sep-2022,"17,665.80","2,569.80",538.90,"1,495.05"
02-Sep-2022,"17,539.45","2,530.50",536.70,"1,485.50"
01-Sep-2022,"17,542.80","2,560.40",533.30,"1,472.15"
30-Aug-2022,"17,759.30","2,637.95",531.25,"1,486.10"
29-Aug-2022,"17,312.90","2,597.65",514.85,"1,439.40"
26-Aug-2022,"17,558.90","2,618.00",523.80,"1,465.10"
25-Aug-2022,"17,522.45","2,632.05",520.40,"1,464.85"
24-Aug-2022,"17,604.95","2,639.75",519.30,"1,472.85"
23-Aug-2022,"17,577.50","2,646.80",521.90,"1,465.80"
22-Aug-2022,"17,490.70","2,606.60",511.30,"1,470.35"
19-Aug-2022,"17,758.45","2,613.85",520.35,"1,493.05"
18-Aug-2022,"17,956.50","2,661.30",532.35,"1,511.70"
17-Aug-2022,"17,944.25","2,665.15",528.15,"1,509.90"
16-Aug-2022,"17,825.25","2,651.30",525.95,"1,502.15"
12-Aug-2022,"17,698.15","2,633.00",530.70,"1,485.15"
11-Aug-2022,"17,659.00","2,591.10",524.75,"1,485.70"
10-Aug-2022,"17,534.75","2,582.50",514.70,"1,466.30"
08-Aug-2022,"17,525.10","2,567.15",520.40,"1,462.05"
05-Aug-2022,"17,397.50","2,534.00",531.05,"1,427.05"
04-Aug-2022,"17,382.00","2,571.90",533.25,"1,431.90"
03-Aug-2022,"17,388.15","2,606.35",540.85,"1,433.60"
02-Aug-2022,"17,345.45","2,584.65",542.10,"1,430.25"
01-Aug-2022,"17,340.05","2,574.85",533.75,"1,446.15"
29-Jul-2022,"17,158.25","2,509.45",528.35,"1,434.20"
28-Jul-2022,"16,929.60","2,457.10",532.45,"1,416.85"
27-Jul-2022,"16,641.80","2,419.20",528.20,"1,404.40"
26-Jul-2022,"16,483.85","2,421.50",514.20,"1,393.75"
25-Jul-2022,"16,631.00","2,420.40",517.80,"1,396.60"
22-Jul-2022,"16,719.45","2,503.10",513.70,"1,392.50"
21-Jul-2022,"16,605.25","2,486.30",512.05,"1,360.75"
20-Jul-2022,"16,520.85","2,503.00",508.60,"1,365.05"
19-Jul-2022,"16,340.55","2,437.10",497.95,"1,348.05"
18-Jul-2022,"16,278.50","2,422.25",490.30,"1,347.55"
15-Jul-2022,"16,049.20","2,401.80",479.10,"1,362.05"
14-Jul-2022,"15,938.65","2,397.15",479.35,"1,351.05"
13-Jul-2022,"15,966.65","2,377.55",486.50,"1,357.85"
12-Jul-2022,"16,058.30","2,420.45",484.95,"1,391.80"
11-Jul-2022,"16,216.00","2,423.90",488.20,"1,406.15"
08-Jul-2022,"16,220.60","2,391.40",488.55,"1,397.10"
07-Jul-2022,"16,132.90","2,388.10",486.75,"1,395.80"
06-Jul-2022,"15,989.80","2,411.85",479.95,"1,371.25"
05-Jul-2022,"15,810.85","2,433.25",472.15,"1,352.60"
04-Jul-2022,"15,835.35","2,413.70",473.45,"1,355.65"
01-Jul-2022,"15,752.05","2,408.70",466.85,"1,353.75"
30-Jun-2022,"15,780.25","2,595.65",465.90,"1,348.00"
29-Jun-2022,"15,799.10","2,580.15",459.10,"1,343.95"
28-Jun-2022,"15,850.20","2,527.70",464.25,"1,345.90"
27-Jun-2022,"15,832.05","2,492.65",461.20,"1,356.25"
24-Jun-2022,"15,699.25","2,500.05",454.25,"1,353.80"
23-Jun-2022,"15,556.65","2,464.95",451.40,"1,335.15"
22-Jun-2022,"15,413.30","2,505.60",447.65,"1,330.25"
21-Jun-2022,"15,638.80","2,584.10",450.75,"1,336.55"
20-Jun-2022,"15,350.15","2,543.05",434.70,"1,322.15"
17-Jun-2022,"15,293.50","2,590.00",441.00,"1,289.75"
16-Jun-2022,"15,360.60","2,560.00",441.60,"1,281.30"
15-Jun-2022,"15,692.15","2,596.30",451.35,"1,307.45"
14-Jun-2022,"15,732.10","2,628.10",448.10,"1,312.00"
13-Jun-2022,"15,774.40","2,662.90",445.85,"1,326.60"
10-Jun-2022,"16,201.80","2,714.25",461.85,"1,351.10"
09-Jun-2022,"16,478.10","2,798.75",466.95,"1,377.70"
08-Jun-2022,"16,356.25","2,724.05",471.30,"1,367.40"
07-Jun-2022,"16,416.35","2,772.75",463.40,"1,362.60"
06-Jun-2022,"16,569.55","2,767.55",463.70,"1,378.45"
03-Jun-2022,"16,584.30","2,779.50",464.50,"1,380.30"
02-Jun-2022,"16,628.00","2,724.30",469.85,"1,385.10"
01-Jun-2022,"16,522.75","2,633.50",468.30,"1,394.85"
31-May-2022,"16,584.55","2,632.65",468.10,"1,388.95"
30-May-2022,"16,661.40","2,664.80",474.60,"1,401.55"
27-May-2022,"16,352.45","2,575.10",468.95,"1,392.05"
26-May-2022,"16,170.15","2,587.10",468.90,"1,366.70"
25-May-2022,"16,025.80","2,612.00",454.10,"1,328.80"
24-May-2022,"16,125.15","2,615.85",462.05,"1,318.95"
23-May-2022,"16,214.70","2,606.90",460.90,"1,304.00"
20-May-2022,"16,266.15","2,624.45",462.40,"1,320.95"
19-May-2022,"15,809.40","2,479.85",447.50,"1,287.05"
18-May-2022,"16,240.30","2,538.35",458.00,"1,313.90"
17-May-2022,"16,259.30","2,529.15",467.30,"1,314.00"
16-May-2022,"15,842.30","2,427.20",455.00,"1,305.10"
13-May-2022,"15,782.15","2,426.60",444.65,"1,291.35"
12-May-2022,"15,808.00","2,399.40",462.65,"1,303.05"
11-May-2022,"16,167.10","2,449.30",476.55,"1,348.60"
10-May-2022,"16,240.05","2,474.65",475.20,"1,341.05"
09-May-2022,"16,301.85","2,518.30",475.90,"1,319.85"
06-May-2022,"16,411.25","2,620.65",483.95,"1,317.60"
05-May-2022,"16,682.65","2,640.90",480.00,"1,352.95"
04-May-2022,"16,677.60","2,693.65",479.65,"1,356.00"
02-May-2022,"17,069.10","2,780.45",491.00,"1,403.70"
29-Apr-2022,"17,102.55","2,790.25",496.30,"1,384.60"
28-Apr-2022,"17,245.05","2,819.85",507.50,"1,371.35"
27-Apr-2022,"17,038.40","2,778.35",497.25,"1,372.55"
26-Apr-2022,"17,200.80","2,775.65",505.50,"1,372.05"
25-Apr-2022,"16,953.95","2,695.00",494.75,"1,365.75"
22-Apr-2022,"17,171.95","2,758.80",500.60,"1,355.60"
21-Apr-2022,"17,392.60","2,782.10",516.30,"1,374.35"
20-Apr-2022,"17,136.55","2,718.45",509.30,"1,354.30"
19-Apr-2022,"16,958.65","2,640.80",511.80,"1,342.20"
18-Apr-2022,"17,173.65","2,543.85",509.50,"1,395.45"
13-Apr-2022,"17,475.65","2,551.65",517.70,"1,464.95"
12-Apr-2022,"17,530.30","2,561.05",512.85,"1,493.50"
11-Apr-2022,"17,674.95","2,610.20",514.90,"1,496.15"
08-Apr-2022,"17,784.35","2,615.65",516.10,"1,514.65"
07-Apr-2022,"17,639.55","2,572.85",514.95,"1,516.75"
06-Apr-2022,"17,807.65","2,619.05",513.95,"1,550.85"
05-Apr-2022,"17,957.40","2,626.05",509.40,"1,608.25"
04-Apr-2022,"18,053.40","2,663.70",512.40,"1,656.80"
01-Apr-2022,"17,670.45","2,655.85",508.20,"1,506.00"
31-Mar-2022,"17,464.75","2,634.75",493.55,"1,470.35"
30-Mar-2022,"17,498.25","2,672.95",494.30,"1,476.95"
29-Mar-2022,"17,325.30","2,622.55",495.00,"1,451.80"
28-Mar-2022,"17,222.00","2,621.95",497.50,"1,432.80"
25-Mar-2022,"17,153.00","2,595.85",490.70,"1,430.90"
24-Mar-2022,"17,222.75","2,578.65",487.10,"1,442.65"
23-Mar-2022,"17,245.65","2,539.20",490.65,"1,479.25"
22-Mar-2022,"17,315.50","2,531.15",493.70,"1,494.15"
21-Mar-2022,"17,117.60","2,467.40",490.60,"1,486.50"
17-Mar-2022,"17,287.05","2,481.70",501.90,"1,480.05"
16-Mar-2022,"16,975.35","2,403.35",492.75,"1,448.15"
15-Mar-2022,"16,663.00","2,363.45",485.85,"1,424.00"
14-Mar-2022,"16,871.30","2,418.85",485.15,"1,442.55"
11-Mar-2022,"16,630.45","2,399.15",470.35,"1,396.80"
10-Mar-2022,"16,594.90","2,392.25",468.70,"1,392.70"
09-Mar-2022,"16,345.35","2,354.10",451.70,"1,371.15"
08-Mar-2022,"16,013.45","2,235.50",440.30,"1,327.80"
07-Mar-2022,"15,863.15","2,239.55",440.30,"1,324.80"
04-Mar-2022,"16,245.35","2,325.55",461.95,"1,366.50"
03-Mar-2022,"16,498.05","2,378.30",467.40,"1,371.00"
02-Mar-2022,"16,605.95","2,398.55",474.25,"1,374.25"
28-Feb-2022,"16,793.90","2,359.55",483.20,"1,426.25"
25-Feb-2022,"16,658.40","2,283.95",482.95,"1,456.10"
24-Feb-2022,"16,247.95","2,255.75",472.65,"1,419.40"
23-Feb-2022,"17,063.25","2,374.05",498.70,"1,500.90"
22-Feb-2022,"17,092.20","2,389.00",498.40,"1,510.70"
21-Feb-2022,"17,206.65","2,399.90",511.85,"1,522.10"
18-Feb-2022,"17,276.30","2,424.40",515.30,"1,512.35"
17-Feb-2022,"17,304.60","2,443.50",512.95,"1,506.50"
16-Feb-2022,"17,322.20","2,412.95",516.70,"1,515.75"
15-Feb-2022,"17,352.45","2,417.95",524.80,"1,517.80"
14-Feb-2022,"16,842.80","2,338.55",501.40,"1,473.70"
11-Feb-2022,"17,374.75","2,376.40",529.60,"1,518.85"
10-Feb-2022,"17,605.85","2,381.05",540.55,"1,525.10"
09-Feb-2022,"17,463.80","2,383.50",535.25,"1,497.60"
08-Feb-2022,"17,266.75","2,356.05",531.35,"1,461.85"
07-Feb-2022,"17,213.60","2,317.10",533.25,"1,468.15"
04-Feb-2022,"17,516.30","2,331.30",530.30,"1,524.00"
03-Feb-2022,"17,560.20","2,352.75",540.10,"1,515.35"
02-Feb-2022,"17,780.00","2,383.55",539.80,"1,531.20"
01-Feb-2022,"17,576.85","2,378.70",532.30,"1,497.00"
31-Jan-2022,"17,339.85","2,386.60",538.30,"1,485.70"
28-Jan-2022,"17,101.95","2,335.85",523.45,"1,463.25"
27-Jan-2022,"17,110.15","2,338.10",528.95,"1,474.95"
25-Jan-2022,"17,277.95","2,373.25",514.65,"1,488.05"
24-Jan-2022,"17,149.10","2,377.90",494.15,"1,486.65"
21-Jan-2022,"17,617.15","2,477.85",502.70,"1,521.60"
20-Jan-2022,"17,757.00","2,477.45",511.40,"1,509.00"
19-Jan-2022,"17,938.40","2,521.60",515.80,"1,518.45"
