Date,NIFTY,RELIANCE,SBI,HDFC
2022-12-30,18105.3,2547.2,613.7,1628.15
2022-12-29,18191.0,2543.3,611.8,1641.3
2022-12-28,18122.5,2544.45,601.05,1629.8
2022-12-27,18132.3,2544.7,601.9,1631.1
2022-12-26,18014.6,2524.05,597.1,1629.45
2022-12-23,17806.8,2502.2,574.0,1597.65
2022-12-22,18127.35,2577.8,593.4,1612.05
2022-12-21,18199.1,2584.5,593.4,1617.6
2022-12-20,18385.3,2621.8,604.45,1633.4
2022-12-19,18420.45,2599.3,604.45,1644.75
2022-12-16,18269.0,2565.6,603.35,1639.65
2022-12-15,18414.9,2578.35,615.95,1631.8
2022-12-14,18660.3,2615.5,625.5,1662.25
2022-12-13,18608.0,2625.0,616.75,1648.3
2022-12-12,18497.15,2613.1,613.05,1643.75
2022-12-09,18496.6,2609.1,616.5,1631.05
2022-12-08,18609.35,2649.25,611.65,1619.5
2022-12-07,18560.5,2650.5,607.05,1610.45
2022-12-06,18642.75,2690.2,608.95,1611.15
2022-12-05,18701.05,2682.45,617.3,1612.95
2022-12-02,18696.1,2722.15,607.55,1607.1
2022-12-01,18812.5,2723.3,608.1,1619.5
2022-11-30,18758.35,2731.35,602.45,1608.45
2022-11-29,18618.05,2712.2,608.55,1597.85
2022-11-28,18562.75,2707.55,608.6,1600.25
2022-11-25,18512.75,2617.6,607.4,1617.65
2022-11-24,18484.1,2579.1,609.35,1625.15
2022-11-23,18267.25,2557.05,607.65,1599.15
2022-11-22,18244.2,2565.05,599.1,1595.0
2022-11-21,18159.95,2550.9,598.1,1597.35
2022-11-18,18307.65,2597.65,602.7,1613.9
2022-11-17,18343.9,2599.05,599.05,1618.15
2022-11-16,18409.65,2592.35,599.75,1632.9
2022-11-15,18403.4,2607.3,600.85,1619.0
2022-11-14,18329.15,2619.05,592.55,1615.05
2022-11-11,18349.7,2631.8,601.3,1611.15
2022-11-10,18028.2,2572.5,605.75,1524.75
2022-11-09,18157.0,2604.0,615.55,1508.35
2022-11-07,18202.8,2606.6,614.15,1508.8
2022-11-04,18117.15,2592.75,593.95,1497.15
2022-11-03,18052.7,2555.15,584.9,1507.55
2022-11-02,18082.85,2545.65,573.85,1514.2
2022-11-01,18145.4,2529.85,576.9,1513.25
2022-10-31,18012.2,2549.6,573.8,1496.7
2022-10-28,17786.8,2526.15,570.75,1458.7
2022-10-27,17736.95,2451.15,579.65,1454.4
2022-10-25,17656.35,2441.55,578.55,1450.9
2022-10-24,17730.75,2479.85,570.5,1461.05
2022-10-21,17576.3,2471.6,560.85,1438.6
2022-10-20,17563.95,2500.6,555.4,1448.8
2022-10-19,17512.25,2493.9,553.4,1458.65
2022-10-18,17486.95,2451.25,562.45,1443.85
2022-10-17,17311.8,2408.75,543.65,1446.55
2022-10-14,17185.7,2370.7,527.2,1439.0
2022-10-13,17014.35,2382.8,521.45,1393.6
2022-10-12,17123.6,2375.25,533.8,1409.8
2022-10-11,16983.55,2357.9,527.4,1400.65
2022-10-10,17241.0,2405.8,530.75,1415.0
2022-10-07,17314.65,2432.35,530.2,1430.8
2022-10-06,17331.8,2422.1,537.3,1437.0
2022-10-04,17274.3,2413.2,532.7,1453.0
2022-10-03,16887.35,2369.5,519.75,1413.2
2022-09-30,17094.35,2377.75,530.6,1421.35
2022-09-29,16818.1,2325.3,521.75,1382.35
2022-09-28,16858.6,2332.45,524.85,1389.55
